Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,172,178,242,255,184,215
70%,14.999999999999996,85.0,70.0,1,171,178,239,255,182,216
75%,12.499999999999995,87.5,75.0,1,170,178,236,255,179,217
80%,9.999999999999993,90.0,80.0,1,167,178,231,255,175,219
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,0,10,225,255,163,220
85%,7.49999999999999,92.50000000000001,85.00000000000003,2,170,180,225,255,163,220
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,0,10,218,255,140,221
90%,4.999999999999988,95.00000000000001,90.00000000000003,2,170,180,218,255,140,221
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,0,10,208,255,127,223
95%,2.499999999999986,97.50000000000001,95.00000000000003,2,170,180,208,255,127,223
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,0,10,150,255,63,235
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,2,170,180,150,255,63,235
